matchid,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6300175,The Amber Hand,Lady Geist,Haze,Lash,Bebop,Mo & Krill,Pocket,Paradox,Seven,McGinnis,Viscous,Vindicta,Grey Talon
6300176,The Sapphire Flame,Pocket,Abrams,Dynamo,Lady Geist,Bebop,Seven,Warden,Haze,Vindicta,Yamato,Infernus,Shiv
6300177,The Sapphire Flame,Lash,Haze,Shiv,Bebop,Abrams,Grey Talon,Pocket,Yamato,Infernus,Seven,Wraith,Warden
6300178,The Amber Hand,Infernus,Dynamo,Pocket,Shiv,Seven,Lady Geist,McGinnis,Vindicta,Abrams,Haze,Wraith,Yamato
6300179,The Sapphire Flame,Infernus,Dynamo,Haze,Ivy,Vindicta,Seven,Grey Talon,Wraith,Kelvin,McGinnis,Viscous,Abrams
6300181,The Sapphire Flame,Viscous,Vindicta,Pocket,Mo & Krill,Paradox,Haze,Infernus,Seven,McGinnis,Abrams,Kelvin,Lady Geist
6300189,The Sapphire Flame,Vindicta,Bebop,Grey Talon,Dynamo,McGinnis,Seven,Haze,Infernus,Paradox,Warden,Mo & Krill,Yamato
6300190,The Sapphire Flame,Kelvin,Pocket,Seven,McGinnis,Vindicta,Grey Talon,Haze,Abrams,Viscous,Lash,Wraith,Lady Geist
6300191,The Amber Hand,McGinnis,Paradox,Bebop,Dynamo,Warden,Seven,Shiv,Abrams,Yamato,Infernus,Grey Talon,Haze
6300193,The Sapphire Flame,Ivy,Paradox,Haze,McGinnis,Abrams,Bebop,Warden,Infernus,Pocket,Lady Geist,Shiv,Seven
6300194,The Amber Hand,Seven,Mo & Krill,Wraith,Kelvin,Bebop,Infernus,Grey Talon,Yamato,Warden,Dynamo,McGinnis,Haze
6300202,The Sapphire Flame,Shiv,Grey Talon,Kelvin,McGinnis,Pocket,Infernus,Vindicta,Wraith,Seven,Abrams,Haze,Bebop
6300203,The Sapphire Flame,Vindicta,Yamato,Abrams,Viscous,Infernus,Ivy,Wraith,Shiv,Bebop,Seven,Lady Geist,Dynamo
6300204,The Sapphire Flame,Kelvin,Bebop,Mo & Krill,McGinnis,Wraith,Grey Talon,Shiv,Infernus,Seven,Lady Geist,Paradox,Viscous
6300205,The Amber Hand,Seven,Viscous,Kelvin,Paradox,Haze,Yamato,Vindicta,Shiv,Bebop,Wraith,Grey Talon,Abrams
6300209,The Amber Hand,Lady Geist,Paradox,Mo & Krill,Warden,Vindicta,McGinnis,Viscous,Abrams,Shiv,Infernus,Haze,Yamato
6300210,The Sapphire Flame,Yamato,Lash,Viscous,Grey Talon,Bebop,Mo & Krill,Vindicta,Abrams,Haze,Wraith,Seven,Infernus
6300213,The Amber Hand,Warden,Yamato,Grey Talon,Wraith,Ivy,Kelvin,Vindicta,Lash,Bebop,McGinnis,Seven,Infernus
6300214,The Amber Hand,Paradox,Seven,McGinnis,Warden,Lash,Abrams,Ivy,Wraith,Infernus,Haze,Vindicta,Grey Talon
6300215,The Amber Hand,Wraith,Shiv,Infernus,Seven,Abrams,Haze,Dynamo,Grey Talon,Paradox,Warden,Lady Geist,Vindicta
6300217,The Sapphire Flame,Paradox,Grey Talon,Haze,Infernus,Bebop,Pocket,Lady Geist,McGinnis,Vindicta,Seven,Lash,Yamato
6300220,The Sapphire Flame,Lady Geist,Haze,Shiv,Bebop,Vindicta,Grey Talon,Kelvin,McGinnis,Infernus,Yamato,Seven,Warden
6300222,The Sapphire Flame,Dynamo,Vindicta,Kelvin,Wraith,Haze,Mo & Krill,Abrams,Pocket,Infernus,Yamato,Seven,Grey Talon
